train epoch ,resampling ,running value loss ,running policy loss ,running p diff 
26,10,0.7465,1.82936,0.25361
26,20,0.706,1.83072,0.25352
26,30,0.63496,1.84443,0.25355
26,40,0.55966,1.86815,0.25367
26,50,0.50087,1.89137,0.25431
26,60,0.47078,1.90524,0.25547
26,70,0.47892,1.91308,0.2562
26,80,0.5117,1.9117,0.25715
26,90,0.55582,1.90173,0.25754
26,100,0.59324,1.88683,0.25742
26,110,0.61904,1.87069,0.25733
26,120,0.62058,1.85794,0.25728
26,130,0.61376,1.8465,0.25654
26,140,0.59138,1.84093,0.25612
26,150,0.56227,1.84017,0.25584
26,160,0.53726,1.84471,0.25515
26,170,0.525,1.85711,0.25459
26,180,0.52665,1.87389,0.2542
26,190,0.54426,1.88981,0.25343
27,0,0.57177,1.90486,0.25316
27,10,0.60615,1.92153,0.25276
27,20,0.63413,1.92413,0.25253
27,30,0.65043,1.91561,0.25233
27,40,0.65843,1.90125,0.25223
27,50,0.65131,1.88159,0.25205
27,60,0.63287,1.8577,0.25225
27,70,0.61031,1.84915,0.25247
27,80,0.58344,1.85486,0.25359
27,90,0.56198,1.88386,0.25464
27,100,0.55066,1.9274,0.25508
27,110,0.54755,1.98109,0.25579
27,120,0.54562,2.03199,0.25619
27,130,0.5514,2.07104,0.25616
27,140,0.55675,2.08416,0.25643
27,150,0.56287,2.07288,0.2565
27,160,0.56505,2.04424,0.25581
27,170,0.56616,2.01953,0.25498
27,180,0.55898,2.01,0.25466
27,190,0.54341,2.02972,0.25339
28,0,0.52806,2.0836,0.25233
28,10,0.51221,2.16539,0.25168
28,20,0.50151,2.23845,0.25056
28,30,0.50038,2.28795,0.24916
28,40,0.51006,2.29834,0.24926
28,50,0.52175,2.28917,0.25013
28,60,0.53457,2.27148,0.25069
28,70,0.54616,2.27568,0.25215
28,80,0.55114,2.31228,0.25305
28,90,0.54347,2.3748,0.25331
28,100,0.53462,2.45579,0.25351
28,110,0.52032,2.50822,0.25388
28,120,0.51203,2.53217,0.25468
28,130,0.5062,2.51344,0.2561
28,140,0.51304,2.4677,0.25756
28,150,0.52337,2.38713,0.25779
28,160,0.53892,2.3117,0.25848
28,170,0.55095,2.24582,0.25817
28,180,0.5614,2.19658,0.25717
